"source","target"
1644932,248515
1659511,1302430
1644932,1451598
1644932,83791
1644932,829426
1644932,32161
1644932,133818
1656877,211630
1644932,583987
1654395,664457
1644932,1386919
1654867,5203
1654867,8179
1654867,248514
1654867,3108444
1644932,2337662
1659511,2337662
1644932,3034912
1644932,3733902
1654395,4589426
1668293,94363
1681543,1451598
1669902,3629732
1689455,94363
1689147,234670
1694221,1451598
1689030,83791
1704797,83791
1711329,83791
1690940,1570
1690940,9236
1690940,19076
1690940,380696
1690940,2518166
1690940,3398759
1690940,5472107
1716352,131550
1712474,248515
1717087,1302430
1712474,1451598
1716024,1451598
1717087,1451598
1719624,1451598
1716352,83791
1716352,175863
1717563,1382471
1712800,1425554
1717563,1654867
1717563,9236
1717563,19317
1717563,53055
1717563,65687
1717563,83969
1717563,107885
1717563,248506
1717563,248514
1717563,258293
1717563,343909
1717563,403109
1717563,578570
1717563,616741
1717563,1382471
1717563,1654867
1717563,1712306
1717563,2691429
1717563,7582134
1717563,30450932
1729613,81423
1729613,248506
1729613,365269
1729613,667414
1729613,1639886
1729613,6381595
1729613,6385058
1729613,6462997
1729613,6522950
1729613,7993804
1729613,7993805
1729613,7993806
1729613,9112957
1729613,9416410
1727639,2337662
1717087,4966088
1745771,131550
1747436,94363
1741357,83791
1747736,83791
1753595,94363
1758561,94363
1752916,166342
1752916,378925
1759782,4966088
1775918,131550
1767866,1451598
1773898,83791
1779679,4549342
1779679,4666200
1806253,94363
1791986,234670
1806939,83791
1799150,105770
1799150,403109
1799150,464198
1799150,639338
1799150,12125001
1815322,94363
1820727,1451598
1815272,2337662
1826435,184154
1823605,234670
1825447,1451598
1826435,1451598
1823654,83791
1826435,83791
1823654,829426
1826435,2026123
1827182,94363
1828310,94363
1826435,3400072
1826435,3626872
1826435,3803575
1836642,131550
1839134,94363
1840344,94363
1839088,234670
1833558,1451598
1839982,1451598
1830877,83791
1840344,83791
1839036,168661
1839036,829426
1840344,829426
1836642,175863
1832677,1425554
1831279,1570
1831279,9236
1831279,122176
1831279,2572921
1831279,2572926
1831279,2639410
1835521,2337662
1831279,2572921
1833558,3062719
1840004,3803575
1844383,94363
1844738,94363
1844769,94363
1855417,94363
1843623,234670
1849191,248515
1844043,1451598
1844469,1451598
1845413,83791
1847729,83791
1849997,83791
1880689,184154
1862783,131550
1873465,94363
1878390,94363
1883777,94363
1863625,234670
1879137,1302430
1880689,1451598
1858860,83791
1880689,83791
1862783,672
1862783,2169
1862783,25747
1862783,28538
1862783,30771
1862783,43814
1862783,117200
1862783,131550
1862783,206087
1862783,258292
1862783,258293
1862783,258295
1862783,273200
1862783,522018
1862783,561335
1862783,581858
1862783,1127241
1862783,1745771
1862783,1836642
1862783,1839443
1862783,1952293
1862783,2024123
1862783,2961254
1862783,2994820
1862783,3576064
1862783,5011623
1862783,6128002
1862783,6666637
1862783,7010464
1862783,7964376
